Datum,app_opens,swipes_likes,swipes_passes,superlikes,matches,messages_sent,messages_received,advertising_id,idfa,total_swipes
2023-06-21,60,119,87,1,0,0,0,,,206
2023-06-22,15,43,19,0,0,0,1,,,62
2023-06-23,58,89,158,1,1,8,6,,,247
2023-06-24,25,83,185,0,0,2,2,,,268
2023-06-25,17,70,45,0,0,0,0,,,115
2023-06-26,27,83,191,0,1,4,4,,,274
2023-06-27,45,137,142,1,0,6,3,,,279
2023-06-28,31,81,297,0,1,6,6,,,378
2023-06-29,10,22,19,0,0,0,0,,,41
2023-06-30,23,144,81,1,0,0,0,,,225
2023-07-01,20,61,66,0,0,0,2,,,127
2023-07-02,16,64,76,0,0,0,0,,,140
2023-07-03,54,159,398,4,1,6,6,,,557
2023-07-04,30,99,520,0,1,2,2,,,619
2023-07-05,14,27,168,0,0,1,1,,,195
2023-07-06,7,56,116,0,0,0,0,,,172
